name,ra,dec
ABELL1656:[EF2011]3,194.96679166666667,27.832527777777777
SDSSJ130039.25+02300,195.16354166666667,2.500722222222222
ABELL1656:[BDG95]+1,195.28312499999998,28.128805555555555
SDSSJ130320.36+17590,195.83483333333334,17.986027777777778
SDSSJ130336.75+24313,195.90316666666666,24.525694444444444
SDSSJ130440.05+18443,196.16708333333332,18.744055555555555
SDSSJ130656.13+14482,196.733875,14.807416666666667
SDSSJ131115.77+36591,197.81570833333333,36.9865
SDSSJ131252.09+40323,198.21708333333333,40.54263888888889
SDSSJ132047.15+22021,200.19650000000001,22.037944444444445
SDSSJ133058.16+19255,202.74233333333333,19.432388888888887
SDSSJ133625.55+18175,204.10645833333334,18.298194444444444
SDSSJ133645.05+44355,204.18770833333335,44.59813888888889
SDSSJ133948.51+31173,204.952125,31.293416666666666
KUG1344+214,206.61716666666666,21.166027777777778
ESO174-G?001,206.99208333333334,-53.34747222222222
2MASXJ13491364+22352,207.30658333333332,22.58988888888889
SDSSJ135047.68+20535,207.69866666666667,20.898333333333333
2MASXJ13523472-34263,208.14479166666666,-34.44188888888889
SDSSJ141304.47-02173,213.26862500000001,-2.293861111111111
SDSSJ141617.99+02393,214.075,2.6609444444444446
SDSSJ141709.59+05104,214.29,5.178861111111111
SDSSJ141709.67+52210,214.2902916666667,52.351194444444445
SDSSJ141723.31+52253,214.34716666666668,52.425916666666666
SDSSJ141858.80+02415,214.74504166666668,2.6995833333333334
SDSSJ141920.48+02500,214.83533333333332,2.833666666666667
SDSSJ142012.43+04413,215.05179166666667,4.692833333333334
WIGS15J142715351+043,216.81395833333335,4.661111111111111
SDSSJ142846.97+00401,217.19575,0.6709166666666667
SDSSJ142922.17+01063,217.34241666666668,1.1108055555555556
SDSSJ142925.72+05355,217.35716666666667,5.598611111111111
SDSSJ143056.59+00090,217.73579166666667,0.15238888888888888
SDSSJ143141.12+00271,217.921375,0.45494444444444443
WIGS15J143316320+000,218.318,0.033361111111111105
SDSSJ143415.67+04002,218.56529166666667,4.006055555555555
SDSSJ143854.45+00112,219.726875,0.19075
SDSSJ144641.53+03361,221.67304166666668,3.604388888888889
SDSSJ144644.03+04073,221.68345833333333,4.127111111111111
WIGS15J145203372+014,223.01404166666666,1.7834444444444446
SDSSJ145424.14+01273,223.60062499999998,1.4610833333333333
WIGS15J145555226+001,223.98008333333334,0.2946388888888889
SDSSJ151500.56+19161,228.752375,19.27213888888889
SDSSJ151754.53+16184,229.47720833333332,16.312277777777776
SDSSJ153317.25+53360,233.321875,53.60019444444445
SDSSJ153753.44+14014,234.47270833333334,14.029833333333332
SDSSJ153935.41+13395,234.89758333333333,13.666583333333334
SDSSJ155507.76+11014,238.782375,11.028333333333334
SDSSJ155510.06+11093,238.79191666666668,11.158388888888888
SDSSJ155511.89+11190,238.79958333333335,11.318111111111111
SDSSJ155532.96+11015,238.887375,11.033083333333334
SDSSJ155603.29+11150,239.01370833333334,11.251277777777778
SDSSJ155606.17+11160,239.02575000000002,11.269194444444445
WKK7463,251.86629166666665,-57.426611111111114
SDSSJ171038.53+35555,257.6605416666667,35.931555555555555
2MASXJ19261464+43510,291.5610833333334,43.851
[OCN2009]J200942.40-,302.4266666666667,-57.16855555555556
[OCN2009]J200943.15-,302.4297916666667,-56.84027777777778
[OCN2009]J201008.46-,302.53525,-57.08744444444444
PKS2005-489:[PWC2011,302.6404166666667,-49.00527777777778
[OCN2009]J201140.87-,302.9202916666667,-56.94233333333333
[OCN2009]J201145.60-,302.94,-56.65113888888889
[OCN2009]J201335.89-,303.39958333333334,-56.79875
KKR56,312.1005,58.61827777777778
SDSSJ211948.48+00294,319.952,0.4946388888888889
WIGR22J212513065+000,321.304375,0.02275
WIGR22J212721900-024,321.8412083333333,-2.673111111111111
WIGR22J212751584-014,321.9649166666667,-1.8266944444444444
WIGR22J212754008-025,321.97504166666664,-2.937972222222222
WIGR22J212846550-020,322.1940416666667,-2.0305833333333334
WIGR22J212911550-023,322.298125,-2.607277777777778
WIGR22J212937190-025,322.40495833333335,-2.8657777777777778
SDSSJ212941.01+00344,322.4209166666667,0.5802499999999999
WIGR22J212946899-015,322.44541666666663,-1.9897222222222222
WIGR22J213050290-032,322.70962499999996,-3.3836944444444446
WIGR22J213124574-040,322.852375,-4.011638888888889
WIGR22J213129648-034,322.8735416666667,-3.8327222222222224
WIGR22J213806935-014,324.52887499999997,-1.745277777777778
WIGR22J213832684+011,324.63624999999996,1.1914444444444445
WIGR22J214217038-011,325.571,-1.2684444444444445
WIGR22J214659339-002,326.74725,-0.4240833333333333
RCS09210103353,327.5106666666667,-5.162194444444444
RCS09200203124,327.63437500000003,-4.718222222222222
RCS09200303283,327.7409166666667,-4.672527777777778
RCS09100100016,328.1356666666667,-4.535055555555555
RCS09120803748,328.22504166666664,-5.774055555555556
RCS09100201759,328.238125,-4.655083333333334
RCS09120903840,328.3340833333333,-5.77325
RCS09101000108,328.50304166666666,-4.995555555555556
RCS09121001824,328.51750000000004,-5.864611111111111
RCS09131100821,328.6182083333333,-6.3413611111111114
RCS09110500837,328.63675,-5.0328333333333335
RCS09000602171,328.717625,-4.882694444444445
SDSSJ215514.76-09145,328.8115416666667,-9.249333333333333
RCS09000702141,328.81879166666664,-4.890916666666667
SDSSJ215537.88-09183,328.9078333333333,-9.309138888888889
RCS09000800785,328.97433333333333,-4.95625
RCS09020900312,329.04145833333337,-5.897333333333333
RCS09030303143,329.059375,-6.092527777777778
WIGR22J215616504+012,329.06875,1.4228611111111111
WIGR22J215621152+012,329.088125,1.495
WIGR22J215626295+012,329.1095833333333,1.3916944444444443
WIGR22J215629941+011,329.12475,1.199
WIGR22J215643427+005,329.18095833333336,0.9711944444444445
RCS09031002184,329.2077083333333,-6.243361111111111
WIGR22J215656659+005,329.23608333333334,0.9368055555555556
WIGR22J215716565+013,329.31899999999996,1.5280277777777778
WIGR22J215810404+014,329.54333333333335,1.7098055555555556
MRSS466-057124,329.5494583333333,-30.196805555555557
