oldName,freqTargeted,diameters,dRatio,pa,completeList
ISOSSJ00075-7211,"K_s (2MASS ""total"")","(71.9, 14.38)",0.2,55.0,"[['K_s (2MASS isophotal)', (45.0, 9.0), 0.2, 55.0], ['K_s (2MASS ""total"")', (71.9, 14.38), 0.2, 55.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 12.0), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (63.1, 315.5), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (74.13, 370.65), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (82.22, 411.1), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (37.58, 187.9), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (43.15, 215.75), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (53.09, 265.45), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (29.17, 145.85), 0.2, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (21.38, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (12.99, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (19.07, 81.15), 0.23, 65.0], ['ESO-LV IIIa-F', (17.06, None), None, None]]"
MCG-06-07-003,"K_s (2MASS ""total"")","(80.3, 53.0)",0.66,5.0,"[['K_s (2MASS isophotal)', (52.2, 34.45), 0.66, 5.0], ['K_s (2MASS ""total"")', (80.3, 53.0), 0.66, 5.0], ['POSS1 103a-E', (60.0, 36.0), 0.6, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 36.0), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (66.83, 111.38), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (74.99, 124.98), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (79.4, 132.33), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (79.43, 132.38), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (40.27, 67.12), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (46.24, 77.07), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (54.95, 91.58), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (30.9, 51.5), 0.6, 7.0], ['ESO-LV ""Quick Blue"" IIa-O', (24.83, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (14.27, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (20.54, 36.55), 0.56, 8.0], ['ESO-LV IIIa-F', (13.87, None), None, None]]"
2MASXJ13094664-5753480,"K_s (2MASS ""total"")","(37.3, 28.35)",0.76,95.0,"[['K_s (2MASS isophotal)', (18.6, 14.14), 0.76, 95.0], ['K_s (2MASS ""total"")', (37.3, 28.35), 0.76, 95.0]]"
2MASXJ13105161-5804479,"K_s (2MASS ""total"")","(33.3, 22.64)",0.68,40.0,"[['K_s (2MASS isophotal)', (17.4, 11.83), 0.68, 40.0], ['K_s (2MASS ""total"")', (33.3, 22.64), 0.68, 40.0]]"
PGC003154,"K_s (2MASS ""total"")","(80.2, 19.25)",0.24,65.0,"[['K_s (2MASS isophotal)', (51.8, 12.43), 0.24, 65.0], ['K_s (2MASS ""total"")', (80.2, 19.25), 0.24, 65.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 12.0), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (66.07, 330.35), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (82.22, 411.1), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (98.86, 494.3), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (39.36, 196.8), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (46.77, 233.85), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (61.66, 308.3), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (29.51, 147.55), 0.2, 61.0], ['ESO-LV ""Quick Blue"" IIa-O', (18.62, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (9.16, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (19.78, 110.5), 0.18, 58.0], ['ESO-LV IIIa-F', (13.58, None), None, None]]"
2MASXJ03030449+2733462,"K_s (2MASS ""total"")","(23.9, 20.08)",0.84,155.0,"[['K_s (2MASS isophotal)', (13.2, 11.09), 0.84, 155.0], ['K_s (2MASS ""total"")', (23.9, 20.08), 0.84, 155.0]]"
2MASXJ06202388-6353506,"K_s (2MASS ""total"")","(50.7, 23.32)",0.46,10.0,"[['K_s (2MASS isophotal)', (29.4, 13.52), 0.46, 10.0], ['K_s (2MASS ""total"")', (50.7, 23.32), 0.46, 10.0]]"
2MASXJ13112359-5755471,"K_s (2MASS ""total"")","(14.7, 11.76)",0.8,40.0,"[['K_s (2MASS isophotal)', (14.6, 11.68), 0.8, 40.0], ['K_s (2MASS ""total"")', (14.7, 11.76), 0.8, 40.0]]"
2MASXJ13104152-5805140,"K_s (2MASS ""total"")","(31.3, 21.91)",0.7,60.0,"[['K_s (2MASS isophotal)', (15.6, 10.92), 0.7, 60.0], ['K_s (2MASS ""total"")', (31.3, 21.91), 0.7, 60.0]]"
PGC013393,"K_s (2MASS ""total"")","(58.4, 22.19)",0.38,110.0,"[['K_s (2MASS isophotal)', (33.0, 12.54), 0.38, 110.0], ['K_s (2MASS ""total"")', (58.4, 22.19), 0.38, 110.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 30.0), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (51.88, 103.76), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (64.57, 129.14), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (74.13, 148.26), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (37.15, 74.3), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (44.16, 88.32), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (54.95, 109.9), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (26.92, 53.84), 0.5, 127.0], ['ESO-LV ""Quick Blue"" IIa-O', (19.05, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.28, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (10.23, 15.81), 0.65, 128.0], ['ESO-LV IIIa-F', (8.65, None), None, None]]"
2MFGC12885,"K_s (2MASS ""total"")","(74.9, 25.47)",0.34,80.0,"[['K_s (2MASS isophotal)', (47.0, 15.98), 0.34, 80.0], ['K_s (2MASS ""total"")', (74.9, 25.47), 0.34, 80.0]]"
2MASXJ14015457-5658379,"K_s (2MASS ""total"")","(35.2, 19.71)",0.56,175.0,"[['K_s (2MASS isophotal)', (19.0, 10.64), 0.56, 175.0], ['K_s (2MASS ""total"")', (35.2, 19.71), 0.56, 175.0]]"
PGC009864,x,"('x', 'x')",x,x,['x']
[CWF2012]J327.594666-05.74865,x,"('x', 'x')",x,x,['x']
2MASXiJ2041593-152751,x,"('x', 'x')",x,x,['x']
PGC060828,"K_s (2MASS ""total"")","(104.1, 54.13)",0.52,95.0,"[['K_s (2MASS isophotal)', (59.2, 30.78), 0.52, 95.0], ['K_s (2MASS ""total"")', (104.1, 54.13), 0.52, 95.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (66.0, 48.0), 0.73, 91.0]]"
QP131,"K_s (2MASS ""total"")","(62.1, 22.36)",0.36,20.0,"[['K_s (2MASS isophotal)', (37.8, 13.61), 0.36, 20.0], ['K_s (2MASS ""total"")', (62.1, 22.36), 0.36, 20.0]]"
6dFJ2117218-355401,x,"('x', 'x')",x,x,['x']
SOS185924,x,"('x', 'x')",x,x,['x']
UGC02608S,x,"('x', 'x')",x,x,['x']
